pasture,patch,year,transect,fire_treatment,years_since_fire,adaptive_mgmt,stocking_treatment,herbicide_treatment,years_since_herbicide
RIN,S,2007,,full burn,unknown,burn only,none,none,unknown
RIN,S,2008,,full burn,unknown,burn only,none,none,unknown
RIN,S,2009,,full burn,0,burn only,none,none,unknown
RIN,S,2010,,full burn,1,burn only,none,none,unknown
RIN,S,2011,,full burn,2,burn only,none,none,unknown
RIN,S,2012,,full burn,0,burn only,none,none,unknown
RIN,S,2013,,full burn,1,burn only,none,none,unknown
RIN,S,2014,,full burn,2,burn only,none,none,unknown
RIN,S,2015,,full burn,3,burn only,none,none,unknown
RIN,S,2016,,full burn,4,burn only,none,none,unknown
RIN,S,2017,,full burn,0,burn only,none,none,unknown
RIN,S,2018,,full burn,1,burn only,none,none,unknown
RIN,W,2007,,full burn,unknown,burn only,none,none,unknown
RIN,W,2008,,full burn,unknown,burn only,none,none,unknown
RIN,W,2009,,full burn,0,burn only,none,none,unknown
RIN,W,2010,,full burn,1,burn only,none,none,unknown
RIN,W,2011,,full burn,2,burn only,none,none,unknown
RIN,W,2012,,full burn,0,burn only,none,none,unknown
RIN,W,2013,,full burn,1,burn only,none,none,unknown
RIN,W,2014,,full burn,2,burn only,none,none,unknown
RIN,W,2015,,full burn,3,burn only,none,none,unknown
RIN,W,2016,,full burn,4,burn only,none,none,unknown
RIN,W,2017,,full burn,0,burn only,none,none,unknown
RIN,W,2018,,full burn,1,burn only,none,none,unknown
RIS,C,2007,,patch burn,unknown,patch burn graze,season-long stocking,none,unknown
RIS,C,2008,,patch burn,unknown,patch burn graze,season-long stocking,none,unknown
RIS,C,2009,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,C,2010,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,C,2011,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,C,2012,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,C,2013,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,C,2014,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,C,2015,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,C,2016,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,C,2017,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,C,2018,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,N,2007,,patch burn,unknown,patch burn graze,season-long stocking,none,unknown
RIS,N,2008,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,N,2009,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,N,2010,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,N,2011,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,N,2012,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,N,2013,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,N,2014,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,N,2015,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,N,2016,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,N,2017,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,N,2018,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,S,2007,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,S,2008,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,S,2009,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,S,2010,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,S,2011,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,S,2012,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,S,2013,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,S,2014,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,S,2015,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RIS,S,2016,,patch burn,0,patch burn graze,season-long stocking,none,unknown
RIS,S,2017,,patch burn,1,patch burn graze,season-long stocking,none,unknown
RIS,S,2018,,patch burn,2,patch burn graze,season-long stocking,none,unknown
RNR,C,2014,,full burn,3,none,none,none,unknown
RNR,C,2015,,full burn,4,none,none,none,unknown
RNR,C,2016,,full burn,0,none,none,none,unknown
RNR,C,2017,,full burn,1,none,none,none,unknown
RNR,E,2014,,full burn,3,none,none,none,unknown
RNR,E,2015,,full burn,4,none,none,none,unknown
RNR,E,2016,,full burn,0,none,none,none,unknown
RNR,E,2017,,full burn,1,none,none,none,unknown
RNR,W,2014,,full burn,0,none,none,none,0.5
RNR,W,2015,,full burn,1,none,none,none,1.5
RNR,W,2016,,full burn,2,none,none,none,0.5
RNR,W,2017,,full burn,3,none,none,none,1.5
STE,N,2007,,full burn,unknown,graze and burn,season-long stocking,none,unknown
STE,N,2008,,full burn,unknown,graze and burn,season-long stocking,none,unknown
STE,N,2009,,full burn,0,graze and burn,season-long stocking,none,unknown
STE,N,2010,,full burn,1,graze and burn,season-long stocking,none,unknown
STE,N,2011,,full burn,2,graze and burn,season-long stocking,none,unknown
STE,N,2012,,full burn,0,graze and burn,season-long stocking,none,unknown
STE,N,2013,,full burn,1,graze and burn,season-long stocking,none,unknown
STE,N,2014,,full burn,2,graze and burn,season-long stocking,none,unknown
STE,N,2015,,full burn,3,graze and burn,season-long stocking,none,pretreatment
STE,N,2016,T1,full burn,0,graze and burn,season-long stocking,spray and seed,0.5
STE,N,2016,T2,full burn,0,graze and burn,season-long stocking,control,0.5
STE,N,2017,T1,full burn,1,graze and burn,season-long stocking,spray and seed,1.5
STE,N,2017,T2,full burn,1,graze and burn,season-long stocking,control,1.5
STE,N,2018,T1,full burn,2,graze and burn,season-long stocking,spray and seed,2.5
STE,N,2018,T2,full burn,2,graze and burn,season-long stocking,control,2.5
STE,S,2007,,full burn,unknown,graze and burn,season-long stocking,none,unknown
STE,S,2008,,full burn,unknown,graze and burn,season-long stocking,none,unknown
STE,S,2009,,full burn,0,graze and burn,season-long stocking,none,unknown
STE,S,2010,,full burn,1,graze and burn,season-long stocking,none,unknown
STE,S,2011,,full burn,2,graze and burn,season-long stocking,none,unknown
STE,S,2012,,full burn,0,graze and burn,season-long stocking,none,unknown
STE,S,2013,,full burn,1,graze and burn,season-long stocking,none,unknown
STE,S,2014,,full burn,2,graze and burn,season-long stocking,none,unknown
STE,S,2015,,full burn,3,graze and burn,season-long stocking,none,pretreatment
STE,S,2016,,full burn,0,graze and burn,season-long stocking,spray only,0.5
STE,S,2017,,full burn,1,graze and burn,season-long stocking,spray only,1.5
STE,S,2018,,full burn,2,graze and burn,season-long stocking,spray only,2.5
STE,W,2007,,full burn,unknown,graze and burn,season-long stocking,none,unknown
STE,W,2008,,full burn,unknown,graze and burn,season-long stocking,none,unknown
STE,W,2009,,full burn,0,graze and burn,season-long stocking,none,unknown
STE,W,2010,,full burn,1,graze and burn,season-long stocking,none,unknown
STE,W,2011,,full burn,2,graze and burn,season-long stocking,none,unknown
STE,W,2012,,full burn,0,graze and burn,season-long stocking,none,unknown
STE,W,2013,,full burn,1,graze and burn,season-long stocking,none,unknown
STE,W,2014,,full burn,2,graze and burn,season-long stocking,none,unknown
STE,W,2015,,full burn,3,graze and burn,season-long stocking,control,pretreatment
STE,W,2016,,full burn,0,graze and burn,season-long stocking,control,0.5
STE,W,2017,,full burn,1,graze and burn,season-long stocking,control,1.5
STE,W,2018,,full burn,2,graze and burn,season-long stocking,control,2.5
RIE,N,2015,,patch burn,1,none,none,none,unknown
RIE,N,2016,,patch burn,2,none,none,none,0.5
RIE,E,2015,,patch burn,5,none,none,none,0.5
RIE,E,2016,,patch burn,0,none,none,none,0.5
RIE,W,2015,,patch burn,5,none,none,none,0.5
RIE,W,2016,,patch burn,0,none,none,none,0.5
